feature=workclass | value= ? | n=363 | precision=0.4769 | recall=0.8611 | fbeta=0.6139
feature=sex | value= Female | n=2158 | precision=0.5786 | recall=0.7510 | fbeta=0.6536
feature=sex | value= Male | n=4355 | precision=0.5700 | recall=0.8707 | fbeta=0.6890
feature=native-country | value= ? | n=125 | precision=0.4828 | recall=0.8750 | fbeta=0.6222
feature=native-country | value= Cambodia | n=3 | precision=0.5000 | recall=1.0000 | fbeta=0.6667
feature=native-country | value= Canada | n=28 | precision=0.4167 | recall=1.0000 | fbeta=0.5882
feature=native-country | value= China | n=14 | precision=0.6000 | recall=0.7500 | fbeta=0.6667
feature=native-country | value= Columbia | n=11 | precision=0.0000 | recall=1.0000 | fbeta=0.0000
feature=native-country | value= Cuba | n=12 | precision=1.0000 | recall=0.5000 | fbeta=0.6667
feature=native-country | value= Dominican-Republic | n=12 | precision=1.0000 | recall=1.0000 | fbeta=1.0000
feature=native-country | value= Ecuador | n=3 | precision=1.0000 | recall=1.0000 | fbeta=1.0000
feature=native-country | value= El-Salvador | n=21 | precision=1.0000 | recall=1.0000 | fbeta=1.0000
feature=native-country | value= England | n=22 | precision=0.5556 | recall=0.7143 | fbeta=0.6250
feature=native-country | value= France | n=2 | precision=0.0000 | recall=1.0000 | fbeta=0.0000
feature=native-country | value= Germany | n=28 | precision=0.5455 | recall=0.8571 | fbeta=0.6667
feature=native-country | value= Greece | n=4 | precision=0.0000 | recall=1.0000 | fbeta=0.0000
feature=native-country | value= Guatemala | n=21 | precision=0.5000 | recall=0.5000 | fbeta=0.5000
feature=native-country | value= Haiti | n=8 | precision=1.0000 | recall=1.0000 | fbeta=1.0000
feature=native-country | value= Honduras | n=3 | precision=1.0000 | recall=1.0000 | fbeta=1.0000
feature=native-country | value= Hong | n=3 | precision=0.0000 | recall=1.0000 | fbeta=0.0000
feature=native-country | value= Hungary | n=2 | precision=0.5000 | recall=1.0000 | fbeta=0.6667
feature=native-country | value= India | n=18 | precision=0.5385 | recall=1.0000 | fbeta=0.7000
feature=native-country | value= Iran | n=12 | precision=0.4286 | recall=1.0000 | fbeta=0.6000
feature=native-country | value= Ireland | n=2 | precision=1.0000 | recall=1.0000 | fbeta=1.0000
feature=native-country | value= Italy | n=13 | precision=0.7500 | recall=0.7500 | fbeta=0.7500
feature=native-country | value= Jamaica | n=21 | precision=0.0000 | recall=1.0000 | fbeta=0.0000
feature=native-country | value= Japan | n=16 | precision=0.5556 | recall=0.7143 | fbeta=0.6250
feature=native-country | value= Laos | n=2 | precision=1.0000 | recall=1.0000 | fbeta=1.0000
feature=native-country | value= Mexico | n=111 | precision=0.5000 | recall=0.3333 | fbeta=0.4000
feature=native-country | value= Nicaragua | n=11 | precision=0.3333 | recall=1.0000 | fbeta=0.5000
feature=native-country | value= Outlying-US(Guam-USVI-etc) | n=4 | precision=0.0000 | recall=1.0000 | fbeta=0.0000
feature=native-country | value= Peru | n=7 | precision=1.0000 | recall=1.0000 | fbeta=1.0000
feature=native-country | value= Philippines | n=41 | precision=0.6000 | recall=1.0000 | fbeta=0.7500
feature=native-country | value= Poland | n=12 | precision=0.2500 | recall=1.0000 | fbeta=0.4000
feature=native-country | value= Portugal | n=7 | precision=1.0000 | recall=1.0000 | fbeta=1.0000
feature=native-country | value= Puerto-Rico | n=22 | precision=0.6000 | recall=0.7500 | fbeta=0.6667
feature=native-country | value= Scotland | n=4 | precision=1.0000 | recall=1.0000 | fbeta=1.0000
feature=native-country | value= South | n=12 | precision=1.0000 | recall=0.5000 | fbeta=0.6667
feature=native-country | value= Taiwan | n=7 | precision=0.7500 | recall=1.0000 | fbeta=0.8571
feature=native-country | value= Thailand | n=7 | precision=0.0000 | recall=1.0000 | fbeta=0.0000
feature=native-country | value= Trinadad&Tobago | n=4 | precision=0.0000 | recall=1.0000 | fbeta=0.0000
feature=native-country | value= United-States | n=5835 | precision=0.5778 | recall=0.8551 | fbeta=0.6896
feature=native-country | value= Vietnam | n=15 | precision=0.0000 | recall=0.0000 | fbeta=0.0000
feature=native-country | value= Yugoslavia | n=8 | precision=0.2500 | recall=0.5000 | fbeta=0.3333
